COMID,ID,logwbkf_m,logd_m,D50_m,logw_m,length_m,StreamOrder,site_ID
23100404,9,1.219458412,-0.551131076,0.004070786,1.059955012,1644,4,S63
23100608,9,0.867997561,-0.84790416,0.001509103,0.659891821,2414,2,S63P
23100200,9,1.020084311,-0.367892306,0.009911171,0.833010136,1505,3,S64
24424705,9,0.550342415,-0.765294843,0.001690832,0.298309214,1222,2,S65
24423741,9,0.820504667,-0.536737064,0.019373817,0.605831295,645,3,S66
23099678,9,2.082026668,0.177220434,0.000625838,2.041804931,6925,7,T02
23099844,9,2.00065686,0.108511874,0.002033648,1.949182766,708,7,T03
24425579,9,1.741154639,-0.110611463,0.028242725,1.653794856,3133,6,T05
24422823,9,1.367596962,-0.073895942,0.036236647,1.228579144,1481,4,T05P
24422913,9,1.242792909,-0.179480408,0.027570949,1.086516358,6134,3,T06
23107212,9,1.043215167,-0.699950642,0.000118944,0.859339681,1116,2,T07
24425579,9,1.741154639,-0.110611463,0.028242725,1.653794856,3133,6,T41
24425579,9,1.741154639,-0.110611463,0.028242725,1.653794856,3133,6,T42
24125883,9,1.157884739,-0.251312881,0.04233094,0.989866523,2851,4,S13R
24125999,9,1.089539963,-0.309132693,0.048667648,0.912070577,758,3,S17R
24125873,9,1.313975361,-0.119259919,0.091734758,1.167542392,753,5,S18R
24125729,9,1.083340488,-0.31437746,0.008821905,0.905013798,2067,3,S19
24125633,9,1.278177763,-0.149544755,0.022451034,1.126794464,1712,4,S19E
24125811,9,1.447602083,-0.006211458,0.049718053,1.319647904,3347,5,S20R
24126061,9,1.471303473,0.013839963,0.013965597,1.346626879,2632,5,S21R
24125859,9,1.390190385,-0.054781863,0.117687796,1.254296935,947,5,S24R
24125699,9,1.046845288,-0.345252469,0.008220337,0.863471799,6985,3,S25
24125769,9,1.621620573,0.141008516,0.070287873,1.517730826,1174,6,S26R
24126823,9,0.734139599,-0.609802076,0.008017718,0.507523093,8132,2,S27R
24131037,9,1.288061319,-0.141183248,4.82E-06,1.138044784,146,4,S28R
24131041,9,1.694862201,0.202971072,9.69E-05,1.601100792,159,6,S28RE
24126251,9,1.259145697,-0.165645919,0.037619573,1.105130518,3639,4,S29R
23100398,9,1.286329881,-0.494664895,0.003432752,1.136073911,1966,4,S30R
24423233,9,1.506750311,0.043828055,0.041763726,1.386975541,3660,5,S49R
24125193,9,1.843999879,-0.023769077,0.005888307,1.770862217,12036,6,S67
24126401,9,1.16204214,-0.599613301,0.009857876,0.994598837,217,3,S68
24126327,9,1.235896464,-0.185314814,0.036410165,1.078666227,2140,4,S71
24126315,9,1.240410344,-0.181496063,0.033778149,1.083804316,2343,4,S72
24125421,9,1.783176699,-0.07512809,0.009357573,1.701628005,2508,6,S73
24131135,9,1.262192154,-0.51504676,0.00332543,1.10859826,142,4,S75
24423479,9,1.32454477,-0.462396293,0.001452888,1.179573408,10651,4,S77
24125115,9,1.868703266,-0.002909569,0.008931206,1.798981753,3118,6,S79
23099884,9,1.390428401,-0.40676424,0.000862334,1.254567866,4581,4,S82
24126203,9,1.043172541,-0.34835962,0.024256406,0.85929116,3530,3,S83
24126509,9,1.193763694,-0.220959218,0.010762591,1.030707057,1599,4,W10 
24126487,9,1.284455204,-0.144234028,0.034287287,1.133939992,375,4,W20 
24126441,9,0.859402552,-0.50382938,4.46E-05,0.650108237,172,3,U10 
24126427,9,1.021046469,-0.367078318,0.002724906,0.834105349,1822,3,U20 
24126399,9,1.16204214,-0.599613301,1.00E-06,0.994598837,43,3,U21 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,C11 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,C10 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,C21 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,Ct20 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,Ct21 
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,C20 
24423879,9,0.438522896,-0.859894369,0.0017082,0.171026549,2497,1,J21
24125193,9,1.843999879,-0.023769077,0.005888307,1.770862217,12036,6,U23
24126441,9,0.859402552,-0.50382938,4.46E-05,0.650108237,172,3,U22
